species,mean_colony maximum diameter,mean_corallite diameter,mean_growth rate,mean_skeletal density,mean_symbiodinium density,sd2_colony maximum diameter,sd2_corallite diameter,sd2_growth rate,sd2_skeletal density,sd2_symbiodinium density
Acropora cervicornis,26.38,1.2000000000000002,111.29704081632653,1.5099090909090909,1509661.605206078,213625.67297629477,0.5656854249492381,49.652526338444915,0.7918855081441117,854451.6818079075
Acropora palmata,265.3333333333333,0.65,71.03571428571429,1.8371428571428572,2319873.7623762377,176.05302231619504,0.21213203435596428,16.744423378716697,0.535652694872162,1438850.7256916983
Agaricia spp.,19.572,2.545,1.4238181818181819,2.16125,2.302e-6,22.77621500601011,0.44547727214752486,0.9485069287777469,0.15624499991999743,2.8554982052174365e-6
Colpophyllia natans,113.22,22.5,5.5597916666666665,0.764,9.8e-7,80.98336372366859,10.606601717798213,1.7554286493354838,0.10406728592598154,23.362365344182066
Diploria labyrinthiformis,36.53916666666667,7,3.9899999999999998,1.4783333333333333,2.47e-6,107.87464083651014,4.242640687119285,0.9731832891525184,0.18454448424882994,28.318752324257694
Montastraea cavernosa,130.46,6.059285714285714,4.5094594594594595,1.7025000000000001,2.485e-6,107.59384183121263,1.88939714497206,2.172752920894425,0.2254440063519099,6.083467056586354e-7
Orbicella annularis,39.74,2.45,7.314666666666667,1.7281117021276595,2181896.1156278695,284705.3480416403,0.25,2.9009695121608727,0.2524734820009119,1138817.988723567
Orbicella faveolata,122.66666666666667,2.375,8.59,1.18,3022429.8093587635,76.03507962337734,0.32015621187164245,2.146547615746426,441901.32402424084,1767526.7943135123
Orbicella franksi,38.665,3.075,5.21625,2.115,1646720.5240174772,33.70778025916272,0.4991659710623979,1.232464864755642,0.6858935777509513,829006.9620735589
Porites astreoides,9.336363636363636,1.3933333333333333,3.641153846153846,1.535,2725010.3092784,17.75279317331629,0.3438507428134093,1.345432437075546,0.1431414464234958,1482090.1883211315
Porites furcata,10,1.7000000000000002,29.56,1.0533333333333335,2.6633333333333334e-6,3.6007578203671455,0.14142135623730948,14.246332861477018,0.01527525231651948,1.8114377346921606e-6
Pseudodiploria spp.,57.2425,5.866466666666667,4.3561538461538465,1.45,4.212222222222222e-6,38.91841755518844,2.4475585755916818,1.3879033255330289,0.3535533905932738,1.9330078749049225e-6
Siderastrea spp.,57.8225,3.56,5.317777777777778,1.635,1218376.9936508306,55.30770674146597,1.0597169433391165,2.3060852556549607,0.26162950903902266,961601.1326945949
