YEAR1,site1,hv1,hv1_size,i
2016,Cayo Diablo (2016),,0.39442006102300714,1
2016,Palominitos (2016),,5573.214230325187,1
2018,Canal Luis Pena,,1632.490301140705,1
2018,Cayo Diablo (2016),,126.62157379523839,1
2021,Cayo Diablo (2016),,107.23918759789483,1
2023,Cayo Diablo (2016),,82.27763152954911,1
2018,Palominitos (2016),,178.25695949408947,1
2016,Canal Luis Pena,,740.2192991952788,1
2016,Carlos Rosario,,148.5869326452232,1
2016,Dakiti,,59.19700918040334,1
2018,Carlos Rosario,,599.7830165388261,1
2018,Dakiti,,182.43124268413095,1
2021,Canal Luis Pena,,610.5487164369315,1
2023,Canal Luis Pena,,166.47826222943988,1
2021,Dakiti,,23.71007576001366,1
2023,Dakiti,,44.01027762859654,1
2016,Palominos (2016),,10.265912821854172,1
2018,Palominos (2016),,58.178382232676945,1
2021,Carlos Rosario,,101.47290028688009,1
2021,Palominos (2016),,58.171338167689434,1
2023,Carlos Rosario,,20.57823661651962,1
2023,Palominos (2016),,51.57407780909163,1
2021,Palominitos (2016),,4.947899123983688,1
2023,Palominitos (2016),,4.220966674027412,1
