YEAR,site,i,hv_size,centroid
2016,Cayo Diablo (2016),1,0.4766082508206544,
2016,Palominitos (2016),1,4736.658710013463,
2018,Canal Luis Pena,1,1404.9399605541516,
2018,Cayo Diablo (2016),1,109.43513933966253,
2021,Cayo Diablo (2016),1,99.84071468695218,
2023,Cayo Diablo (2016),1,100.27967419770773,
2018,Palominitos (2016),1,159.89894047929297,
2016,Canal Luis Pena,1,664.9329456446164,
2016,Carlos Rosario,1,152.9302845967143,
2016,Dakiti,1,75.70951794302614,
2018,Carlos Rosario,1,442.584960967404,
2018,Dakiti,1,146.89073721570728,
2021,Canal Luis Pena,1,687.789932531784,
2023,Canal Luis Pena,1,136.99814676503672,
2021,Dakiti,1,25.452530712477305,
2023,Dakiti,1,39.056079049708096,
2016,Palominos (2016),1,9.843804657979561,
2018,Palominos (2016),1,57.67072479729807,
2021,Carlos Rosario,1,120.56050837650525,
2021,Palominos (2016),1,43.71442707326772,
2023,Carlos Rosario,1,21.6777889056774,
2023,Palominos (2016),1,53.59253301590402,
2021,Palominitos (2016),1,5.020251283846759,
2023,Palominitos (2016),1,4.820719249403487,
